Date,Temp,ED Attends,Pollution,Passengers,Births,Electric Production,Drug Sales,Beer Production
01/01/1981,20.7,164,129,112,35,72.5052,3.526591,93.2
02/01/1981,17.9,269,148,118,32,70.672,3.180891,96
03/01/1981,18.8,209,159,132,30,62.4502,3.252221,95.2
04/01/1981,14.6,205,181,129,31,57.4714,3.611003,77.1
05/01/1981,15.8,193,138,121,44,55.3151,3.565869,70.9
06/01/1981,15.8,180,109,135,29,58.0904,4.306371,64.8
07/01/1981,15.8,161,105,148,45,62.6202,5.088335,70.1
08/01/1981,17.4,171,124,148,43,63.2485,2.81452,77.3
09/01/1981,21.8,208,120,136,38,60.5846,2.985811,79.5
10/01/1981,20,187,132,119,27,56.3154,3.20478,100.6
11/01/1981,16.2,171,140,104,38,58.0005,3.127578,100.7
12/01/1981,13.3,180,152,118,33,68.7145,3.270523,107.1
13/01/1981,16.7,175,148,115,55,73.3057,3.73785082,95.9
14/01/1981,21.5,157,164,126,47,67.9869,3.55877609,82.8
15/01/1981,25,147,158,141,45,62.2221,3.77720173,83.3
16/01/1981,20.7,179,154,135,37,57.0329,3.92449042,80
17/01/1981,20.6,121,159,125,50,55.8137,4.38653092,80.4
18/01/1981,24.8,116,164,149,43,59.9005,5.81054917,67.5
19/01/1981,17.7,139,170,170,41,65.7655,6.19206769,75.7
20/01/1981,15.5,137,149,170,52,64.4816,3.45085699,71.1
21/01/1981,18.2,134,154,158,34,61.0005,3.77230686,89.3
22/01/1981,12.1,133,164,133,53,57.5322,3.7343029,101.1
23/01/1981,14.4,148,156,114,39,59.3417,3.90539892,105.2
24/01/1981,16,126,126,140,32,68.1354,4.04968714,114.1
25/01/1981,16.5,120,90,145,37,73.8152,4.31556552,96.3
26/01/1981,18.7,123,63,150,43,70.062,4.56218455,84.4
27/01/1981,19.4,111,65,178,39,65.61,4.60866203,91.2
28/01/1981,17.2,116,55,163,35,60.1586,4.66785129,81.9
29/01/1981,15.5,121,65,172,44,58.8734,5.09384145,80.5
30/01/1981,15.1,129,83,178,38,63.8918,7.1799622,70.4
31/01/1981,15.4,147,91,199,24,68.8694,6.73147308,74.8
01/02/1981,15.3,146,86,199,23,70.0669,3.84127758,75.9
02/02/1981,18.8,162,82,184,31,64.1151,4.39407557,86.3
03/02/1981,21.9,151,86,162,44,60.3789,4.07534073,98.7
04/02/1981,19.9,142,78,146,38,62.4643,4.5406449,100.9
05/02/1981,16.6,135,98,166,50,70.5777,4.64561508,113.8
06/02/1981,16.8,158,107,171,38,79.8703,4.75260653,89.8
07/02/1981,14.6,140,90,180,51,76.1622,5.35060467,84.4
08/02/1981,17.1,148,96,193,31,70.2928,5.20445484,87.2
09/02/1981,25,131,95,181,31,63.2384,5.3016513,85.6
10/02/1981,15,164,86,183,51,61.4065,5.77374216,72
11/02/1981,13.7,142,70,218,36,67.1097,6.20459348,69.2
12/02/1981,13.9,131,61,230,45,72.9816,6.74948382,77.5
13/02/1981,18.3,195,53,242,51,75.7655,4.21606735,78.1
14/02/1981,22,175,71,209,34,67.5152,4.94934946,94.3
15/02/1981,22.1,153,72,191,52,63.2832,4.8230449,97.7
16/02/1981,21.2,158,76,172,47,65.1078,5.19475419,100.2
17/02/1981,18.4,190,73,194,45,73.8631,5.17078711,116.4
18/02/1981,16.6,145,79,196,46,77.9188,5.25674157,97.1
19/02/1981,16.1,151,58,196,39,76.6822,5.85527729,93
20/02/1981,15.7,201,25,236,48,73.3523,5.49072901,96
21/02/1981,16.6,194,26,235,37,65.1081,6.11529323,80.5
22/02/1981,16.5,206,28,229,35,63.6892,6.08847284,76.1
23/02/1981,14.4,187,26,243,52,68.4722,7.41659792,69.9
24/02/1981,14.4,187,20,264,42,74.0301,8.32945212,73.6
25/02/1981,18.5,132,29,272,45,75.0448,5.06979585,92.6
26/02/1981,16.9,160,26,237,39,69.3053,5.26255667,94.2
27/02/1981,17.5,210,27,211,37,65.8735,5.59712628,93.5
28/02/1981,21.2,178,27,180,30,69.0706,6.110296,108.5
01/03/1981,17.8,175,25,201,35,84.1949,5.68916084,109.4
02/03/1981,18.6,188,29,204,28,84.3598,6.48684933,105.1
03/03/1981,17,144,32,188,45,77.1726,6.30056933,92.5
04/03/1981,16,137,28,235,34,73.1964,6.46747574,97.1
05/03/1981,13.3,147,29,227,36,67.2781,6.82862939,81.4
06/03/1981,14.3,176,30,234,50,65.8218,6.64907826,79.1
07/03/1981,11.4,183,30,264,44,71.4654,8.60693721,72.1
08/03/1981,16.3,185,28,302,39,76.614,8.52447101,78.7
09/03/1981,16.1,174,26,293,32,77.1052,5.27791837,87.1
10/03/1981,11.8,152,31,259,39,73.061,5.71430345,91.4
11/03/1981,12.2,146,33,229,45,67.4365,6.21452908,109.9
12/03/1981,14.7,134,29,203,43,68.5665,6.41192919,116.3
13/03/1981,11.8,156,31,229,39,77.6839,6.66771564,113
14/03/1981,11.3,145,30,242,31,86.0214,7.05083102,100
15/03/1981,10.6,153,34,233,27,77.5573,6.70491861,84.8
16/03/1981,11.7,133,27,267,30,73.365,7.25098761,94.3
17/03/1981,14.2,152,25,269,42,67.15,7.81973318,87.1
18/03/1981,11.2,131,28,270,46,68.8162,7.39810106,90.3
19/03/1981,16.9,137,28,315,41,74.8448,10.09623339,72.4
20/03/1981,16.7,164,27,364,36,80.0928,8.79851303,84.9
21/03/1981,8.1,163,27,347,45,79.1606,5.91826076,92.7
22/03/1981,8,163,27,312,46,73.5743,6.53449298,92.2
23/03/1981,8.8,159,29,274,43,68.7538,6.67573561,114.9
24/03/1981,13.4,171,36,237,38,72.5166,7.06420058,112.5
25/03/1981,10.9,122,30,278,34,79.4894,7.38338118,118.3
26/03/1981,13.4,139,27,284,35,85.2855,7.81349587,106
27/03/1981,11,183,39,277,56,80.1643,7.43189221,91.2
28/03/1981,15,167,41,317,36,74.5275,8.27511722,96.6
29/03/1981,15.7,175,33,313,32,69.6441,8.26044138,96.3
30/03/1981,14.5,179,50,318,50,67.1784,8.59615575,88.2
31/03/1981,15.8,163,56,374,41,71.2078,10.55893902,70.2
01/04/1981,16.7,126,59,413,39,77.5081,10.3914156,86.5
02/04/1981,16.8,140,60,405,41,76.5374,6.42153456,88.2
03/04/1981,17.5,165,84,355,47,72.3541,8.06261937,102.8
04/04/1981,17.1,176,106,306,34,69.0286,7.2977391,119.1
05/04/1981,18.1,183,66,271,36,73.4992,7.93691594,119.2
06/04/1981,16.6,162,50,306,33,84.5159,8.16532298,125.1
07/04/1981,10,144,56,315,35,87.9464,8.71742046,106.1
08/04/1981,14.9,150,77,301,38,84.5561,9.07096378,102.1
09/04/1981,15.9,141,50,356,38,79.4747,9.17711337,105.2
10/04/1981,13,169,44,348,34,71.0578,9.25188674,101
11/04/1981,7.6,168,27,355,53,67.6762,9.93313643,84.3
12/04/1981,11.5,107,28,422,34,74.3297,11.53297428,87.5
13/04/1981,13.5,103,21,465,34,82.1048,12.51146235,92.7
14/04/1981,13,113,25,467,38,82.0605,7.45719853,94.4
15/04/1981,13.3,91,20,404,35,74.6031,8.59119084,113
16/04/1981,12.1,108,29,347,32,69.681,8.47400037,113.9
17/04/1981,12.4,92,34,305,42,74.4292,9.3868026,122.9
18/04/1981,13.2,82,42,336,34,84.2284,9.56039945,132.7
19/04/1981,13.8,92,28,340,46,94.1386,10.8342948,106.9
20/04/1981,10.6,78,36,318,30,87.1607,10.64375083,96.6
21/04/1981,9,89,48,362,46,79.2456,9.90816186,127.3
22/04/1981,10,71,49,348,45,70.9749,11.7100413,98.2
23/04/1981,9.8,65,52,363,54,69.3844,11.34015074,100.2
24/04/1981,11.5,66,56,435,34,77.9831,12.07913184,89.4
25/04/1981,8.9,67,96,491,37,83.277,14.49758109,95.3
26/04/1981,7.4,75,75,505,35,81.8872,8.04927477,104.2
27/04/1981,9.9,34,105,404,40,75.6826,10.31289116,106.4
28/04/1981,9.3,53,132,359,42,71.2661,9.75335821,116.2
29/04/1981,9.9,60,93,310,58,75.2458,10.85038183,135.9
30/04/1981,7.4,46,131,337,51,84.8147,9.96171916,134
01/05/1981,8.6,64,127,360,32,92.4532,11.44360144,104.6
02/05/1981,11.9,73,130,342,35,87.4033,11.65923889,107.1
03/05/1981,14,53,43,406,38,81.2661,10.64705979,123.5
04/05/1981,8.6,50,37,396,33,73.8167,12.65213444,98.8
05/05/1981,10,66,30,420,39,73.2682,13.67446631,98.6
06/05/1981,13.5,57,28,472,47,78.3026,12.96573509,90.6
07/05/1981,12,54,24,548,38,85.9841,16.30026927,89.1
08/05/1981,10.5,50,23,559,52,89.5467,9.05348536,105.2
09/05/1981,10.7,69,24,463,30,78.5035,10.00244879,114
10/05/1981,8.1,81,27,407,34,73.7066,10.78875007,122.1
11/05/1981,10.1,72,40,362,40,79.6543,12.10670515,138
12/05/1981,10.6,74,42,405,35,90.8251,10.95410107,142.2
13/05/1981,5.3,66,42,417,42,98.9732,12.84456587,116.4
14/05/1981,6.6,68,55,391,41,92.8883,12.19649985,112.6
15/05/1981,8.5,67,52,419,42,86.9356,12.85474787,123.8
16/05/1981,11.2,71,51,461,38,77.2214,13.54200436,103.6
17/05/1981,9.8,76,57,472,24,76.6826,13.28764,113.9
18/05/1981,5.9,83,50,535,34,81.9306,15.13491784,98.6
19/05/1981,3.2,83,54,622,43,85.9606,16.82834968,95
20/05/1981,2.1,84,67,606,36,86.5562,9.80021461,116
21/05/1981,3.4,79,106,508,55,79.1919,10.81699371,113.9
22/05/1981,5.4,84,159,461,41,74.6891,10.65422256,127.5
23/05/1981,9.6,87,198,390,45,81.074,12.51232269,131.4
24/05/1981,11.5,108,190,432,41,90.4855,12.16120969,145.9
